Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Aggregating Specific Deductible,BPS_Aggregating Specific Deductible,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Annual_Maximum_Eligible_Expenses,BPS_Annual_Maximum_Eligible_Expenses,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, VA, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Claims_Basis_Adjustment,BPS_Claims_Basis_Adjustment,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Dependent_Specific_Benefit_Deductible,BPS_Dependent_Specific_Benefit_Deductible,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Lifetime_Maximum_Eligible_Expenses,BPS_Lifetime_Maximum_Eligible_Expenses,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Specific_Benefit,BPS_Specific_Benefit,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Specific_Benefit_Deductible,BPS_Specific_Benefit_Deductible,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Specific_Benefit_Deductible_WA,BPS_Specific_Benefit_Deductible,1,0,0,US\uu49, WA
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Specific_Benefit_End,BPS_Specific_Benefit_End,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, VA, WA, WI, WV, WY"
Benefit_Provisions_Specific,Benefit_Provisions_Specific,BPS_Specific_Benefit_End_MT_UT_VT,BPS_Specific_Benefit_End,1,0,0,US\uv90," MT, UT, VT"
